TARGETS	PREDICTIONS
असलेल्या	असलेल्या
असलेल्या	असलाया
असलेल्या	असलेल्या
असहाय	असाय
असहाय	अशयय
असाध्य	असाधी
असाध्य	असाया
असाध्य	असाधी
असावा	असाव
असावी	असावी
असावी	असावी
असावी	असावी
असावीत	असावीत
असावीत	असवीत
असावीत	असवीत
असावे	असावे
असावेत	असवेत
असिफ	असीफ
असिफ	असिफ
असिफ	असिफ
असूनसुद्धा	असुनसद्ध
असूनसुद्धा	असुंद्द
असूनसुद्धा	असुंद्ध
अस्तानंतर	अस्तांंतर
अस्तित्व	अस्तीव
अस्तित्व	अस्तीव
अस्तित्वच	असत्तवाच
अस्तित्वाचा	असत्तीवा
अस्तित्वाची	असत्तावाची
अस्तित्वाची	असत्तावाची
अस्तित्वातील	अस्त्तीवात
अस्तित्वातील	अस्त्तीवात
अस्थायी	अस्थाय
अस्मिता	अस्मित
अहमदाबादच्या	अहादादाद्या
अहमदाबादच्या	अहमदादाच्या
अहमदाबादच्या	अमेदादाद्या
अहमदाबादला	अहादादादा
अहमदाबादला	अहमदादाद
अहमदाबादला	अहमादादा
आईकडून	आकडूड
आईकडून	आकडून
आईची	आची
आईची	आची
आईच्या	आचीया
आईला	आला
आकारमानाचा	आकर्मााना
आकारमानाचा	कक्रमाणााचा
आकारमानाची	आकर्माांची
आकारमानाने	आकर्माणे
आकृत्या	आकृत्य
आगळे	आगडे
आगळे	आगले
आगळे	आगले
आगेकूच	आगेकूच
आगेकूच	आगेकूच
आजतागायत	आजातात
आजतागायत	आग्यातात
आजारांचे	आजारांचे
आजारांचे	अजारांचे
आजारांच्या	आजारांच्या
आजारांच्या	अजारांच्या
आजारांमध्ये	आजारांमध्ये
आजारांमध्ये	आजारांमध्ये
आजारांसाठी	आजारांसाठी
आजाराकडे	आजारका
आजाराकडे	अजारकाे
आजाराची	आजाराची
आजाराची	अजारची
आजाराच्या	आजारच्या
आजाराच्या	आजारच्या
आजाराच्या	अजारच्या
आजारात	आजारत
आजारात	आजारत
आजारात	अजारत
आजारामध्ये	आजारामध्ये
आजारामध्ये	अजारामध्ये
आजारामुळे	आजारमुळे
आजारामुळे	अजारमुळे
आजाराला	आजाराल
आजाराला	अजारला
आजारी	आजारी
आजारी	आजारी
आजारी	आजारी
आजूबाजूचे	आजुजाबूचे
आजूबाजूचे	आजुजाजुचे
आजूबाजूच्या	आजुजाबूच्या
आजूबाजूच्या	आजुजाजीच्या
आजूबाजूच्या	आजुजुज्या
आजोबांची	आजोबांची
आजोबांची	आजोबांची
आजोबांचे	आजोबांचे
आजोबांच्या	आजोबांच्या
आठ	आथ
आणलेला	आणलेला
आणलेले	आणलेले
आणलेले	आणलेले
आणलेले	अललेले
आणावे	आणावे
आणावे	अणावे
आणि	आणी
आणि	आणी
आणि	अणी
आणेल	आणेल
आतडे	आताे
आदिम	आडीम
आदी	आडी
आदी	आडी
आदी	आडी
आदी	अडी
आदी	अडी
आदी	अडी
आन	आण
आनंदजी	आणंदाजी
आनंदजी	अनंदाजी
आनंदजी	अनंद्जी
आपआपसात	आपापसत
आपआपसात	आपापसाठ
आपसात	आपसात
आपसात	आपसात
आमुची	आमुची
आमुची	आमुची
आम्ही	आमीही
आम्ही	आमीह
आयर्न	आर्यां
आयर्न	आयर्न
आयर्न	अर्यान
आयर्न	अयर्न
आयर्न	इरण
आयर्न	इरून
आयलंड	आलयंड
आयलंड	इकेलंड
आयलंड	इलंड
आयलंड	इसलंड
आयोनियन	अयोनिय
आयोनियन	अयुनिय
आयोनियन	योन
आयोनियन	योनिय
आयोनियन	योनिय
आयोवा	आयोवा
आयोवा	अयूव
आयोवा	अयूव
आयोवा	अयोव
आयोवा	अयोव
आयोवा	यूव
आयोवा	यूव
आयोवा	यव
आयोवा	यव
आरामशीर	आरमाशी
आरामशीर	आरमशी
आर्टेमिस	आर्टीमिस
आर्टेमिस	आर्टेमिस
आर्टेमिस	अर्टीमास
आर्टेमिस	अर्टीमिस
आर्टेमिस	अर्टेमिस
आर्टेमिस	अर्टेमेस
आर्टेमिस	अर्टेमिस
आर्थिक	आर्थिक
आर्सेनल	आर्सेल
आर्सेनल	आर्सेन
आर्सेनल	आर्षेल
आर्सेनल	अर्सेला
आर्सेनल	अर्सेला
आर्सेनल	अर्षेला
आला	आला
आलो	आलो
आलो	अलो
आवाका	आवका
आवृत्ती	आवृत्ती
आवृत्ती	आवृत्ती
आवृत्ती	अवृत्ती
आवृत्तीचे	आवरीतीचा
आवृत्तीचे	आवृततीचे
आवृत्तीचे	आवरीतीचा
आवृत्तीचे	अवृततीचे
आवृत्तीत	आवरतीत
आवृत्तीत	आवरीतीत
आवृत्तीत	आवर्तीत
आवृत्तीत	अवृत्तीत
आशेवर	आशेवर
आशेवर	अशेवर
आष्टा	आश्त
आष्टा	अश्त
आसाराम	आसारम
आसाराम	असारम
आसाराम	असारमा
आहात	आहात
आहात	आहत
आहात	अहत
आहार	आहार
आहार	आहार
आहार	अहर
आहाराकडे	आहारकादा
आहाराकडे	आहाराकडे
आहाराकडे	आहारकाडे
आहाराचे	आहाराचा
आहाराचे	आहाराचे
आहाराचे	अहाराचे
आहारात	आहारत
आहारात	अहारत
आहेत	आहेत
इंग्रज	इंग्र
इंग्रज	इंग्र
इंग्रज	इंग्रेज
इंग्रजांचा	इंग्राजांचा
इंग्रजांची	इंग्राजांची
इंग्रजांचे	इंग्राजांचे
इंग्रजांना	इंग्राजांन
इंग्रजाचे	इंग्रााचे
इंग्रजाचे	इंग्रााचे
इंग्लंडकडून	इंगलांडकून
इंग्लंडकडून	इंगलांडकून
इंग्लंडकडून	इंगलांकडून
इंग्लंडच्या	इंगलंग्या
इंग्लंडने	इंगलंडे
इंग्लंडमधील	इंगलांदाली
इंग्लंडमधील	इंगलंदामी
इंग्लंडला	इंगलंद
इंडस	इंडस
इंडस	एंडूस
इंडस	इंदूश
इंडस	एंडूस
इंडस	इंदूश
इंडस	इंदस
इंडस	इंदास
इंडस	इंदाश
इंडस	इंडोस
इंडस	इंदोश
इंडस	इंदूस
इंडस	इंदूश
इंडेक्स	इंडिक्स
इंडेक्स	इंडीक
इंडेक्स	इंडेक्स
इंडेक्स	इंडेक्स
इंडेक्स	इंडेस
इंडोनेशियन	इंदेनशीय
इंडोनेशियन	इंडेनसिय
इंडोनेशियन	इंडेनस
इंडोनेशियन	इंदेनश
इंडोनेशियन	इंदेनशिय
इंडोनेशियन	इंदेनशिय
इंडोनेशियन	इंडेनसिय
इंडोनेशियन	इंदेनशिय
इंडोनेशियन	इंडेनसिय
इंडोनेशियन	इंदोनिशिय
इंडोनेशियन	इंदोनेशिय
इंडोनेशियन	इंदेनश
इंडोनेशियन	इंदोनशिय
इंडोनेशियन	इंदोनेशिय
इंडोनेशियन	इंदोनशिय
इंडोनेशियन	इंदोनेशिय
इंडोनेशियन	इंडेनसिय
इंडोनेशियन	इंडेनसियन
इंडोनेशियन	इंदेनशिय
इंडोनेशियन	इंदेनेशिय
इंदापूर	इंदपूर
इंदापूर	इंदपूर
इंद्रजित	इंदराजीत
इक्बाल	एकल
इक्बाल	एबल
इक्बाल	एकल
इक्बाल	एकला
इक्बाल	इबल
इक्बाल	इबला
इगतपुरी	इतापुरी
इगतपुरी	इतपपीरी
इगतपुरी	इतपपीरी
इगोर	एगूर
इगोर	एगर
इगोर	इगूर
इगोर	एगर
इतकी	इतकी
इतकी	इतकी
इनायत	इनायत
इनायत	इनायत
इन्स्टिटयूट	इंस्तीत
इन्स्टिटयूट	इंस्तित
इमरान	एमरान
इमरान	इमारण
इमरान	इमरण
इयत्ता	ययत्त
इयर	आर
इयर	एर
इयर	ययर
इयर	यार
इयर	येर
इलाख्यात	इलाख्यात
इलाख्यात	इलाख्यात
इश्क	इश्क
इश्क	इश्क
इश्क	इशक
इश्क	इश्क
इश्क	इस्क
इश्क	इस्क
इसेन्स	एससें
इसेन्स	इसेंस
इस्राईल	इस्रेल
इस्राईल	इस्रील
ईशान्येला	एशाण्याल
ईशान्येला	इशणेला
ईश्वराच्या	इश्वराच्या
ईश्वराच्या	इश्वराच्या
ईश्वरीय	इश्वरी
ईश्वरीय	इश्वरी
ईश्वरीय	इश्वरीय
उगवण	उगवण
उगवण	उगवण
उग्र	उग्र
उग्र	उग्र
उड्डाणपूल	उद्लापूळ
उड्डाणपूल	उद्पांपूळ
उतरती	उतराती
उतरावे	उतारवे
उत्तर	उत्र
उत्तरकाशी	उत्राकारी
उत्तरकाशी	उत्रकारी
उत्तरही	उत्तारही
उत्तरही	उत्तारही
उत्तरही	उत्तारी
उत्तरा	उत्रा
उत्तराच्या	उत्तार्या
उत्तरीय	उत्रायय
उत्तरीय	उत्रारी
उत्तरीय	उत्रायय
उत्पाद	उतपा
उत्सवाची	उत्वासी
उत्सवाची	उत्वासी
उत्सवाचे	उत्वासा
उत्सवात	उत्वास
उत्सवातील	उत्वासील
उत्सवातील	उत्वातील
उत्सवाने	उत्वासने
उत्सवाला	उत्वाला
उद्या	उद्या
उद्याच्या	उद्याच्या
उद्योगपती	उद्यपाती
उद्योगपती	उद्यपाती
उधाण	उधान
उधाण	उधन
उन्नतीचा	उन्तीचा
उपग्रहाची	उपगराची
उपग्रहाची	उप्रााचाी
उपग्रहाचे	उपगराचा
उपग्रहाचे	उप्रााचा
उपग्रहाच्या	उपगर्चाया
उपग्रहाच्या	उग्रााच्या
उपनाम	उपान
उपनाम	उप्नम
उपयोगांसाठी	उपयासांठाठी
उपयोगांसाठी	उप्यासांसाठी
उपयोगांसाठी	उप्यासाठाठी
उपयोगाचा	उपयोगाचा
उपयोगाचा	उप्यगाचा
उपयोगाच्या	उपयोगाच्या
उपयोगाच्या	उप्योगाच्या
उपयोगात	उपयोगत
उपयोगात	उप्यगात
उपयोगी	उपायगी
उपयोगी	उपायगी
उपयोगी	उप्योगी
उपरोल्लेखित	उपरलेलीत
उपरोल्लेखित	उप्रलेलित
उपसर्ग	उपसर्ग
उपसर्ग	उस्रर्ग
उभय	उभाय
उभयतांनी	उभायातं
उभयतांनी	उभायातं
उभयतांनी	उभातांंी
उभे	उभे
उभेच	उभेच
उमेश	आमेश
उमेश	ओमीश
उमेश	ओमेस
उमेश	ओमेश
उमेश	ओमेश
उमेश	उमीश
उमेश	उमेस
उमेश	उमेश
उमेश	उमेश
उर्दू	उर्डू
उर्दू	उर्दू
उर्दू	उर्दू
उर्दू	उर्दू
उर्दू	उर्दू
उर्दूचा	उर्दूचा
उर्दूचा	उर्दूचा
उलगडत	उलागत
उलगडले	उलागडे
उलगडले	उलागडे
उलगडून	उलागडून
उलगडून	उलागडून
उष्णता	उशणात
उसके	उसके
उस्मानिया	उस्माय
उस्मानिया	उस्मायन
ऊसतोड	उसादोड
ऊसतोड	उस्तो
ऊसतोडणी	उसतोदनी
ऊसतोडणी	उस्दादनी
ऊसतोडणी	उस्दोानी
एकंदर	एकंदर
एकंदर	एंकार
एकतीस	एक्सी
एकनाथ	एकणाठ
एकनाथांचे	एकांांचे
एकनाथांचे	एकांाांचे
एकनाथांच्या	एकांांच्या
एकनाथांच्या	एक्णांच्या
एकनिष्ठ	एक्निष
एकनिष्ठ	एक्निष्थ
एकनिष्ठता	एक्निष्त
एकमात्र	एकमत्र
एकमात्र	एकमत्र
एडमंटन	एमांतं
एडमंटन	एदमांत
एडमंटन	एमडांत
एडमंटन	एमडंत
एडमंटन	इमांतं
एडमंटन	इमदांत
एडमंटन	इमदंन
एडमंटन	इमदंत
एडमंटन	इमदंत
एमए	मा
एवढा	आवाध
एवढा	एवाध
एसेन	असीन
एसेन	असेन
एसेन	असिन
एसेन	असिन
एसेन	असिं
एसेन	असिं
एसेन	एसिं
एसेन	एससीन
एसेन	एसें
एसेन	एससन
एसेन	इसिं
एसेन	इसिं
एस्टी	आस्टी
एस्टी	एस्ती
एस्टी	एस्ती
ऐच्छिक	आचिच
ऐच्छिक	आचिक
ऐच्छिक	आचची
ऐहिक	आहिक
ऐहिक	आहिक
ऐहिक	एहिक
ऑक्सिजनची	उस्यकींची
ऑक्सिजनची	उस्यकींची
ऑलिम्पिक	अलंपी
ऑलिम्पिक	अलिंपिक
ऑलिम्पिक	अलिंपिक
ऑलिम्पिक	अलिंपिप
ऑलिम्पिक	अल्यपिप
ऑलिम्पिक	आलंपीप
ऑलिम्पिक	ओलंपिक
ऑलिम्पिक	ओलिंपिक
ऑलिम्पिक	ओलिंपिक
ऑलिम्पिक	ओल्मिपिक
ऑलिव्हर	आलिव्हार
ऑलिव्हर	ओलिवर
ऑलिव्हर	ओलिह्हर
ओंडका	आंडका
ओंडका	उंडका
ओडिसा	ओडिस
ओलांडला	ओलंदा
ओलांडला	ओलंद्ड
ओलांडली	ओलंदडी
ओलांडली	ओलंदडी
ओलांडली	ओलंदी
ओवाळणी	वलाणी
ओवाळणी	वळाणी
ओव्या	अव्या
ओव्या	ओव्या
ओव्या	ओव्या
ओव्या	ओव्या
औद्योगिकरण	आुध्यकिकारण
औद्योगिकरण	आद्यगकरिन
औषध	आशाध
औषधांच्या	आशाधांच्या
औषधांनी	आशांधांी
औषधांनी	आशांधांी
औषधांसाठी	अशााांसाठी
औषधांसाठी	आशाांसाठी
औषधाचा	आशाधा
औषधाचे	आशााधे
औषधात	आशाधत
कंगोरे	कांगोर
कंटाळून	कांतलून
कंटाळून	कांतलून
कंबरेच्या	कांबरेच्या
कचरा	काचार
कचरा	काच्र
कचेरी	काचरी
कचेरी	काचीरी
कचेरीच्या	काचरीच्या
कचेरीच्या	काचीर्या
कठिण	काठीन
कडा	काड
कथक	काठक
कथकली	काठकली
कथकली	काठकली
कदर	कादर
कनक	काणक
कन्नड	कानाद
कन्नड	कनंड
कन्नड	कांदा
कन्नड	कांडा
कन्यका	काण्यक
कपूरच्या	कापुराच्या
कपूरच्या	कापूर्च्या
कपूरच्या	कापुर्च्या
कबुली	काबुली
कबुली	काबुली
कब्र	काब्र
कब्र	काब्र
कमलाकर	कमलकर
कमांड	कममंड
कमांड	कोमंड
कमांड	कॉमंड
कमांड	कॉमंड
कमांड	कोमंड
कमांड	कमंड
कमांड	कमांद
कमांड	कममंड
कमांड	कमांद
कमांड	कममंड
करंदीकर	करंदीकर
करणारा	करणारा
करणारा	करणार
करणेही	करणेीी
करणेही	करणाही
करविली	करवीली
करविली	करवीली
करविली	करविली
कराची	काराची
कराची	काराची
कराची	काराची
कराची	काराची
करामत	करमात
करावा	कराव
करु	करू
करेपर्यंत	कररेप्रांत
कर्णा	कर्ण
कर्णाचा	कर्णाचा
कर्णाला	करणाला
कर्णिक	कर्णिक
कर्तबगारीने	कर्तारागरीन
कर्तबगारीने	कर्तारगारीन
कर्तबगारीने	कर्तारगारीन
कर्माच्या	कर्माच्या
कर्मात	कर्मत
कर्मे	कर्मे
कलर	कलर
कलर	कलूर
कलर	कोलर
कलर	कोलूर
कलर	कोलर
कलर	कलार
कलर	कलार
कलाटणी	कलातीनी
कलाटणी	कल्तानी
कलिका	कलिक
कलेकलेने	कलेकेले
कलेकलेने	कलेकेले
कल्लोळ	कललू
कल्हई	कालाही
कळपात	कलापत
कळलेले	कललेले
कशेळी	काशेली
कष्टाची	काषताची
कष्टाची	काषताची
कष्टाचे	काषता
कष्टाने	काषताने
कसाबसा	कससाब
कसोट्या	कसोत्य
काँक्रिट	कोंसरेत
काँक्रिट	कोंक्रीत
कां	का
कां	कां
कांची	कांची
कांतो	कांतो
कांतो	कांतू
कांतो	कांतो
कांतो	कांतू
कांतो	कांतो
काठमांडू	कांडामू
काठमांडू	कांडामू
काठमांडू	कांडामू
काठमांडू	कांमडून
काठमांडू	कांमडूू
काठमांडू	केंडामू
काठमांडू	केंडमू
काठमांडू	कांडामू
काठमांडू	कांमडून
काढावा	कावा
काणकोणकर	कानकोकार
काणकोणकर	कांककार
कातडी	काताी
कातडी	काताी
कातडीचा	कतादीचा
कातडीचा	कताीचा
कातळ	कातल
कातळात	काळत
कापुस	कापूस
काबाडकष्ट	काबदक्ष
काबाडकष्ट	काबदक्ष
कामोठे	कमोठे
कायदा	कायद
कायदा	कायद
कायदेभंग	कायदेबंग
कायदेभंग	कायदेबंग
कायद्या	कायद्या
कायद्या	कायद्या
कायद्यांची	कायद्यांची
कायद्यांची	कायद्यांची
कायद्यांची	कायद्यांची
कायद्यांचे	कायद्यांचे
कायद्यांचे	कायद्यांचे
कायद्यांच्या	कायद्यांच्या
कायद्यांच्या	कायद्यांच्या
कायद्याचा	कायद्याचा
कायद्याचा	काद्याचा
कायद्याच्या	कायद्याच्या
कायद्याच्या	काद्याच्या
कायद्यात	कायद्यात
कायद्यात	कायद्यात
कायद्याने	कायद्याने
कायद्याने	काद्याने
कायद्याप्रमाणे	कायद्यापरामे
कायद्याप्रमाणे	काय्यापारामाने
कायद्यामध्ये	कायद्यामध्ये
कायद्यामध्ये	काय्यामाध्ये
कायद्यामुळे	कायद्यामुळे
कायद्यामुळे	कायद्यामुळे
कायद्याला	कायद्या
कायद्याला	कायद्या
कायद्यास	कायद्यास
कायद्यास	काद्यास
कायम	कायम
कायमच	कायमाच
कायमच	कायम
कायमची	कायमाची
कायमची	कायमाची
कायमची	कायमाची
कायमचे	कायमाचे
कारंजा	करंज
कारंजी	करंजी
कारंजी	करंजी
कारखानदार	करांखार
कारखानदार	कर्खांदर
कार्यकर्त्यांचे	कर्यक्रात्यांचे
कार्यकर्त्यांना	कर्यक्र्तांन
कार्यकर्त्यांनी	कर्यक्र्तायनी
कार्यकर्त्यांनी	कर्यक्रात्यांनी
कार्यकर्त्यांनी	कर्यक्र्यातीं
कार्यकाल	कार्यकाल
कार्यकाल	कार्यकाल
कार्यवाही	कार्यावाही
कार्यवाही	कार्यावाही
कार्यवाही	कार्यावाही
कार्यालय	कार्याले
कार्यालयाची	कार्यालाचे
कार्यालयाची	कर्यालााची
कार्यालयाची	कर्यालााची
कार्यालयात	कार्यालात
कार्यालयात	कार्यालात
कार्यालयातील	कार्यालातील
कार्यालयातील	कार्यालातील
कार्यालयाने	कार्यालााने
कार्यालयाला	कार्यालाला
कार्यालयावर	कर्यालावर
कार्यालयावर	कर्यालाराव
कार्यालयाशी	कर्यालाासी
कार्यालयाशी	कर्यालाासी
कालवा	कलाव
कालवा	कल्व
कालवा	कल्व
कालिया	कलीय
काळापासून	कलापासून
काळापासून	कलापासून
काळीही	कलीीही
काळीही	कलीीही
काळीही	कलीीही
कावड	कावड
कावड	कावड
कावीळ	कवील
कावीळ	कवील
काशीत	काशीत
काशीत	काशीत
कासवांची	कसावांची
कासवांची	कसांांची
कासवांच्या	कसावांच्या
कासवांच्या	कसावांच्या
कासवांच्या	कसावंच्या
कासवाचे	कसावाचे
कासवाचे	कसावाची
कासेगाव	कासेगो
कासेगाव	कासेगान
कासेगाव	कासेगव
किडींची	किदींची
किडींची	किदींची
किडींची	किदींची
किडींचे	किडींचे
किडींचे	किडींचे
किनाऱ्याला	किणार्या
किनाऱ्यावर	किण्र्यावर
किनाऱ्यावरील	किण्र्यावरील
किनाऱ्यावरील	किण्र्यावरील
किरणोत्सर्गी	किरारस्टर्गी
किरणोत्सर्गी	किरारस्टर्गी
किसनराव	किसाराव
किसनराव	किसाराव
कीर्तीच्या	किर्तीच्या
कीर्तीच्या	किर्तीच्या
कुंडली	कुंडली
कुंडली	कुंडली
कुंडलीत	कुंडलीत
कुंडलीत	कुंडलीत
कुंडलीत	कुंडीत
कुटूंबातील	कुतुंबीत
कुटूंबातील	कुतुंबील
कुटूंबातील	कुतुंबील
कुणकेश्वर	कुणकेश्वर
कुणकेश्वर	कुंकेशवर
कुणकेश्वर	कुंकेशवर
कुतूहल	कुतुल
कुत्रे	कुत्रे
कुमक	कुमक
कुमारच्या	कुमार्या
कुमारने	कुमरणे
कुर्तकोटी	कुरकतती
कुर्तकोटी	कुरकती
कुलदीप	कुलादी
कुलदीप	कुलीप
कुलदीप	कुलीप
कुलाब्याच्या	कोलाब्याच्या
कुलाब्याच्या	कुल्याब्या
कुलूप	कुलूप
कुलूप	कुलूप
कृत	कृत
कृतीशील	क्रितीश
कृतीशील	कृतीीील
कृतीशील	कृतीशील
कृपा	क्रप
कृपा	क्रीप
कृपा	क्रप
कृपा	क्रीप
कृपा	क्रप
कृपाप्रसादाने	क्रिपपरादाने
कृपाप्रसादाने	क्रपपरासााने
कृष्णा	क्रीषा
कृष्णा	क्रिषा
कृष्णा	क्रिस्न
कृष्णा	कृष्ण
कृष्णा	कृष्ण
कृष्णा	क्रसण
कृष्णा	क्रिषा
कृष्णा	कृष्ण
कॅन्सरचा	कांसरच
कॅमेरे	कमेर
केनेथ	कानीथ
केनेथ	कानेथ
केनेथ	केनेथ
केनेथ	कीीनी
केनेथ	कीनीथ
केनेथ	किनींथ
केनेथ	कीनेथ
केनेथ	केनेथ
केनेथ	केन्थे
